ticket_id,customer_id,interaction_type,issue_type,status,created_at,resolved_at,agent_id,satisfaction_score,transcript_text,source_system,ingestion_timestamp
TICKET_000058,CUST_0016,Call,Billing Inquiry,Resolved,2025-06-11 22:12:41,2025-06-13 22:12:41,AGENT_539,3,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000059,CUST_0016,Email,Feature Request,Resolved,2025-06-15 22:12:41,2025-06-29 22:12:41,AGENT_427,4,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000060,CUST_0017,Call,Technical Support,Resolved,2025-09-10 22:12:41,2025-09-20 22:12:41,AGENT_869,5,Account access problem. Reset password and verified account status.,Support_System,2025-10-21 22:12:41
TICKET_000061,CUST_0017,Self-service,Account Issue,Resolved,2025-08-06 22:12:41,2025-08-14 22:12:41,AGENT_914,3,Billing inquiry regarding recent charges. Explained pricing structure.,Intercom,2025-10-21 22:12:41
TICKET_000062,CUST_0017,Chat,Account Issue,Resolved,2025-09-03 22:12:41,2025-09-16 22:12:41,AGENT_494,3,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000063,CUST_0018,Chat,Feature Request,Resolved,2025-07-11 22:12:41,2025-07-15 22:12:41,AGENT_732,4,Account access problem. Reset password and verified account status.,Zendesk,2025-10-21 22:12:41
TICKET_000064,CUST_0018,Call,Bug Report,Resolved,2025-08-09 22:12:41,2025-08-11 22:12:41,AGENT_473,4,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000065,CUST_0018,Chat,Technical Support,Resolved,2025-08-17 22:12:41,2025-08-22 22:12:41,AGENT_521,3,Feature request for additional reporting capabilities. Escalated to product team.,LiveChat,2025-10-21 22:12:41
TICKET_000066,CUST_0019,Call,Feature Request,Resolved,2025-05-02 22:12:41,2025-05-14 22:12:41,AGENT_460,3,Billing inquiry regarding recent charges. Explained pricing structure.,Zendesk,2025-10-21 22:12:41
TICKET_000067,CUST_0019,Call,Billing Inquiry,Resolved,2025-08-29 22:12:41,2025-09-07 22:12:41,AGENT_140,3,Account access problem. Reset password and verified account status.,Intercom,2025-10-21 22:12:41
TICKET_000068,CUST_0019,Call,Bug Report,Open,2025-06-05 22:12:41,,AGENT_606,3,Technical support for integration issues. Provided API documentation.,Zendesk,2025-10-21 22:12:41
TICKET_000069,CUST_0022,Self-service,Bug Report,Resolved,2025-08-18 22:12:41,2025-08-24 22:12:41,AGENT_684,3,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000070,CUST_0023,Chat,Account Issue,Resolved,2025-08-28 22:12:41,2025-08-29 22:12:41,AGENT_420,3,Customer reported issue with login functionality. Provided troubleshooting steps.,Intercom,2025-10-21 22:12:41
TICKET_000071,CUST_0023,Call,Account Issue,Resolved,2025-04-25 22:12:41,2025-05-09 22:12:41,AGENT_545,3,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000072,CUST_0023,Email,Account Issue,Open,2025-07-27 22:12:41,,AGENT_754,3,Feature request for additional reporting capabilities. Escalated to product team.,Zendesk,2025-10-21 22:12:41
TICKET_000073,CUST_0023,Chat,Technical Support,Resolved,2025-07-25 22:12:41,2025-07-28 22:12:41,AGENT_964,4,Billing inquiry regarding recent charges. Explained pricing structure.,Zendesk,2025-10-21 22:12:41
TICKET_000074,CUST_0023,Chat,Technical Support,Resolved,2025-06-08 22:12:41,2025-06-12 22:12:41,AGENT_113,5,Technical support for integration issues. Provided API documentation.,Zendesk,2025-10-21 22:12:41
TICKET_000075,CUST_0023,Call,Bug Report,Resolved,2025-08-20 22:12:41,2025-08-21 22:12:41,AGENT_560,4,Technical support for integration issues. Provided API documentation.,LiveChat,2025-10-21 22:12:41
TICKET_000076,CUST_0024,Call,Bug Report,Resolved,2025-07-19 22:12:41,2025-07-22 22:12:41,AGENT_359,4,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000077,CUST_0024,Chat,Technical Support,Resolved,2025-06-08 22:12:41,2025-06-17 22:12:41,AGENT_965,5,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000078,CUST_0025,Self-service,Billing Inquiry,Resolved,2025-07-29 22:12:41,2025-07-31 22:12:41,AGENT_759,4,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000079,CUST_0025,Chat,Account Issue,Resolved,2025-04-26 22:12:41,2025-05-08 22:12:41,AGENT_717,5,Billing inquiry regarding recent charges. Explained pricing structure.,Support_System,2025-10-21 22:12:41
TICKET_000080,CUST_0025,Self-service,Feature Request,Resolved,2025-04-28 22:12:41,2025-05-11 22:12:41,AGENT_542,4,Account access problem. Reset password and verified account status.,Support_System,2025-10-21 22:12:41
TICKET_000081,CUST_0025,Chat,Feature Request,Resolved,2025-08-29 22:12:41,2025-09-02 22:12:41,AGENT_913,3,Account access problem. Reset password and verified account status.,Intercom,2025-10-21 22:12:41
TICKET_000082,CUST_0026,Call,Bug Report,Open,2025-08-26 22:12:41,,AGENT_300,2,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000083,CUST_0027,Email,Account Issue,Resolved,2025-05-09 22:12:41,2025-05-10 22:12:41,AGENT_214,3,Feature request for additional reporting capabilities. Escalated to product team.,Zendesk,2025-10-21 22:12:41
TICKET_000084,CUST_0027,Self-service,Bug Report,In Progress,2025-07-17 22:12:41,,AGENT_168,2,Technical support for integration issues. Provided API documentation.,Zendesk,2025-10-21 22:12:41
TICKET_000085,CUST_0027,Call,Technical Support,Resolved,2025-06-13 22:12:41,2025-06-17 22:12:41,AGENT_459,3,Technical support for integration issues. Provided API documentation.,LiveChat,2025-10-21 22:12:41
TICKET_000086,CUST_0027,Call,Account Issue,Resolved,2025-06-16 22:12:41,2025-06-27 22:12:41,AGENT_558,3,Account access problem. Reset password and verified account status.,Intercom,2025-10-21 22:12:41
TICKET_000087,CUST_0027,Call,Feature Request,Resolved,2025-10-14 22:12:41,2025-10-28 22:12:41,AGENT_466,3,Customer reported issue with login functionality. Provided troubleshooting steps.,Intercom,2025-10-21 22:12:41
TICKET_000088,CUST_0027,Call,Bug Report,Resolved,2025-09-12 22:12:41,2025-09-14 22:12:41,AGENT_944,4,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000089,CUST_0027,Chat,Bug Report,Resolved,2025-06-04 22:12:41,2025-06-10 22:12:41,AGENT_806,3,Technical support for integration issues. Provided API documentation.,Support_System,2025-10-21 22:12:41
TICKET_000090,CUST_0028,Call,Billing Inquiry,Resolved,2025-06-04 22:12:41,2025-06-18 22:12:41,AGENT_524,3,Billing inquiry regarding recent charges. Explained pricing structure.,Zendesk,2025-10-21 22:12:41
TICKET_000091,CUST_0028,Email,Billing Inquiry,Resolved,2025-05-02 22:12:41,2025-05-09 22:12:41,AGENT_693,4,Feature request for additional reporting capabilities. Escalated to product team.,Support_System,2025-10-21 22:12:41
TICKET_000092,CUST_0028,Chat,Bug Report,Resolved,2025-06-10 22:12:41,2025-06-16 22:12:41,AGENT_834,3,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000093,CUST_0028,Chat,Technical Support,Resolved,2025-07-23 22:12:41,2025-07-27 22:12:41,AGENT_219,3,Billing inquiry regarding recent charges. Explained pricing structure.,Zendesk,2025-10-21 22:12:41
TICKET_000094,CUST_0028,Self-service,Bug Report,Resolved,2025-05-03 22:12:41,2025-05-14 22:12:41,AGENT_697,5,Technical support for integration issues. Provided API documentation.,Zendesk,2025-10-21 22:12:41
TICKET_000095,CUST_0029,Self-service,Technical Support,Resolved,2025-06-17 22:12:41,2025-06-24 22:12:41,AGENT_539,5,Technical support for integration issues. Provided API documentation.,Support_System,2025-10-21 22:12:41
TICKET_000096,CUST_0029,Self-service,Feature Request,Resolved,2025-08-04 22:12:41,2025-08-08 22:12:41,AGENT_441,4,Technical support for integration issues. Provided API documentation.,Support_System,2025-10-21 22:12:41
TICKET_000097,CUST_0031,Chat,Feature Request,Resolved,2025-08-27 22:12:41,2025-09-02 22:12:41,AGENT_593,4,Customer reported issue with login functionality. Provided troubleshooting steps.,Support_System,2025-10-21 22:12:41
TICKET_000098,CUST_0031,Email,Technical Support,Resolved,2025-06-16 22:12:41,2025-06-30 22:12:41,AGENT_720,4,Feature request for additional reporting capabilities. Escalated to product team.,Support_System,2025-10-21 22:12:41
TICKET_000099,CUST_0031,Chat,Technical Support,Resolved,2025-06-20 22:12:41,2025-06-26 22:12:41,AGENT_859,5,Account access problem. Reset password and verified account status.,Support_System,2025-10-21 22:12:41
TICKET_000100,CUST_0031,Call,Bug Report,Resolved,2025-08-03 22:12:41,2025-08-04 22:12:41,AGENT_713,3,Feature request for additional reporting capabilities. Escalated to product team.,Zendesk,2025-10-21 22:12:41
TICKET_000101,CUST_0031,Email,Bug Report,Resolved,2025-08-18 22:12:41,2025-08-28 22:12:41,AGENT_415,3,Feature request for additional reporting capabilities. Escalated to product team.,LiveChat,2025-10-21 22:12:41
TICKET_000102,CUST_0031,Chat,Feature Request,Resolved,2025-07-31 22:12:41,2025-08-03 22:12:41,AGENT_580,4,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000103,CUST_0031,Chat,Feature Request,Resolved,2025-10-01 22:12:41,2025-10-13 22:12:41,AGENT_765,4,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000104,CUST_0032,Chat,Bug Report,Resolved,2025-07-13 22:12:41,2025-07-14 22:12:41,AGENT_738,5,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000105,CUST_0032,Call,Bug Report,Resolved,2025-06-10 22:12:41,2025-06-15 22:12:41,AGENT_312,4,Technical support for integration issues. Provided API documentation.,Support_System,2025-10-21 22:12:41
TICKET_000106,CUST_0032,Call,Feature Request,Open,2025-09-20 22:12:41,,AGENT_544,3,Feature request for additional reporting capabilities. Escalated to product team.,LiveChat,2025-10-21 22:12:41
TICKET_000107,CUST_0032,Email,Feature Request,Resolved,2025-10-15 22:12:41,2025-10-29 22:12:41,AGENT_449,5,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000108,CUST_0033,Chat,Bug Report,Resolved,2025-05-21 22:12:41,2025-05-26 22:12:41,AGENT_216,5,Feature request for additional reporting capabilities. Escalated to product team.,LiveChat,2025-10-21 22:12:41
TICKET_000109,CUST_0033,Chat,Bug Report,Resolved,2025-05-20 22:12:41,2025-05-31 22:12:41,AGENT_338,5,Technical support for integration issues. Provided API documentation.,LiveChat,2025-10-21 22:12:41
TICKET_000110,CUST_0033,Call,Feature Request,Resolved,2025-05-11 22:12:41,2025-05-18 22:12:41,AGENT_966,3,Billing inquiry regarding recent charges. Explained pricing structure.,Support_System,2025-10-21 22:12:41
TICKET_000111,CUST_0033,Call,Technical Support,Resolved,2025-09-13 22:12:41,2025-09-14 22:12:41,AGENT_640,3,Billing inquiry regarding recent charges. Explained pricing structure.,Intercom,2025-10-21 22:12:41
TICKET_000112,CUST_0033,Chat,Feature Request,Resolved,2025-04-29 22:12:41,2025-05-02 22:12:41,AGENT_681,4,Technical support for integration issues. Provided API documentation.,Support_System,2025-10-21 22:12:41
TICKET_000113,CUST_0033,Call,Feature Request,Resolved,2025-08-04 22:12:41,2025-08-16 22:12:41,AGENT_121,4,Technical support for integration issues. Provided API documentation.,LiveChat,2025-10-21 22:12:41
TICKET_000114,CUST_0033,Chat,Billing Inquiry,Resolved,2025-07-21 22:12:41,2025-07-22 22:12:41,AGENT_410,4,Account access problem. Reset password and verified account status.,Zendesk,2025-10-21 22:12:41
TICKET_000115,CUST_0034,Self-service,Account Issue,Resolved,2025-06-14 22:12:41,2025-06-28 22:12:41,AGENT_607,5,Technical support for integration issues. Provided API documentation.,Support_System,2025-10-21 22:12:41
TICKET_000116,CUST_0034,Email,Technical Support,In Progress,2025-05-30 22:12:41,,AGENT_785,1,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000117,CUST_0034,Chat,Feature Request,Resolved,2025-07-15 22:12:41,2025-07-22 22:12:41,AGENT_577,5,Customer reported issue with login functionality. Provided troubleshooting steps.,LiveChat,2025-10-21 22:12:41
TICKET_000118,CUST_0034,Self-service,Billing Inquiry,In Progress,2025-07-21 22:12:41,,AGENT_357,1,Feature request for additional reporting capabilities. Escalated to product team.,LiveChat,2025-10-21 22:12:41
TICKET_000119,CUST_0035,Email,Billing Inquiry,Resolved,2025-07-27 22:12:41,2025-08-03 22:12:41,AGENT_350,5,Billing inquiry regarding recent charges. Explained pricing structure.,Intercom,2025-10-21 22:12:41
TICKET_000120,CUST_0035,Chat,Feature Request,Resolved,2025-06-16 22:12:41,2025-06-18 22:12:41,AGENT_120,4,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000121,CUST_0035,Email,Billing Inquiry,Resolved,2025-09-25 22:12:41,2025-10-04 22:12:41,AGENT_796,5,Technical support for integration issues. Provided API documentation.,LiveChat,2025-10-21 22:12:41
TICKET_000122,CUST_0036,Email,Account Issue,Resolved,2025-06-28 22:12:41,2025-07-07 22:12:41,AGENT_190,4,Customer reported issue with login functionality. Provided troubleshooting steps.,LiveChat,2025-10-21 22:12:41
TICKET_000123,CUST_0036,Self-service,Technical Support,Resolved,2025-09-08 22:12:41,2025-09-14 22:12:41,AGENT_364,4,Customer reported issue with login functionality. Provided troubleshooting steps.,Support_System,2025-10-21 22:12:41
TICKET_000124,CUST_0036,Self-service,Feature Request,Resolved,2025-05-05 22:12:41,2025-05-09 22:12:41,AGENT_242,3,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000125,CUST_0036,Email,Feature Request,Resolved,2025-08-13 22:12:41,2025-08-22 22:12:41,AGENT_898,5,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000126,CUST_0036,Self-service,Account Issue,Resolved,2025-07-26 22:12:41,2025-08-09 22:12:41,AGENT_358,4,Technical support for integration issues. Provided API documentation.,LiveChat,2025-10-21 22:12:41
TICKET_000127,CUST_0037,Chat,Account Issue,In Progress,2025-07-09 22:12:41,,AGENT_955,3,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000128,CUST_0037,Call,Technical Support,In Progress,2025-05-03 22:12:41,,AGENT_603,2,Feature request for additional reporting capabilities. Escalated to product team.,Zendesk,2025-10-21 22:12:41
TICKET_000129,CUST_0037,Call,Account Issue,Resolved,2025-10-08 22:12:41,2025-10-20 22:12:41,AGENT_778,3,Billing inquiry regarding recent charges. Explained pricing structure.,Zendesk,2025-10-21 22:12:41
TICKET_000130,CUST_0037,Email,Technical Support,Resolved,2025-05-14 22:12:41,2025-05-24 22:12:41,AGENT_304,5,Account access problem. Reset password and verified account status.,Support_System,2025-10-21 22:12:41
TICKET_000131,CUST_0037,Call,Feature Request,In Progress,2025-08-03 22:12:41,,AGENT_737,1,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000132,CUST_0037,Chat,Billing Inquiry,Resolved,2025-07-14 22:12:41,2025-07-17 22:12:41,AGENT_428,4,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000133,CUST_0038,Call,Technical Support,Resolved,2025-07-30 22:12:41,2025-08-08 22:12:41,AGENT_883,4,Feature request for additional reporting capabilities. Escalated to product team.,Zendesk,2025-10-21 22:12:41
