transaction_id,customer_id,transaction_date,amount,currency,payment_method,product_id,product_name,quantity,transaction_type,source_system,ingestion_timestamp
TXN_000029,CUST_0003,2025-05-22 22:12:41,89.05,USD,PayPal,PROD_4409,Add-on Module,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000030,CUST_0004,2025-10-02 22:12:41,576.1,USD,PayPal,PROD_1706,Consulting,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000031,CUST_0004,2025-07-31 22:12:41,942.04,USD,Credit Card,PROD_8424,Support Package,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000032,CUST_0004,2025-10-08 22:12:41,396.51,USD,PayPal,PROD_1476,Add-on Module,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000033,CUST_0004,2025-08-17 22:12:41,774.91,USD,Credit Card,PROD_6340,Support Package,4,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000034,CUST_0004,2025-09-26 22:12:41,503.36,USD,PayPal,PROD_6343,Training,2,Subscription Payment,Billing_Platform,2025-10-21 22:12:41
TXN_000035,CUST_0004,2025-10-09 22:12:41,635.98,USD,Credit Card,PROD_4615,Consulting,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000036,CUST_0004,2025-08-22 22:12:41,801.82,USD,Credit Card,PROD_8454,Software License,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000037,CUST_0004,2025-09-02 22:12:41,586.51,USD,Credit Card,PROD_5418,Consulting,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000038,CUST_0004,2025-09-09 22:12:41,699.37,USD,Credit Card,PROD_2820,Add-on Module,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000039,CUST_0004,2025-08-24 22:12:41,1029.24,USD,Credit Card,PROD_3568,Training,2,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000040,CUST_0004,2025-08-04 22:12:41,653.75,USD,Bank Transfer,PROD_2416,Add-on Module,5,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000041,CUST_0005,2025-09-24 22:12:41,879.92,USD,Credit Card,PROD_8014,Consulting,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000042,CUST_0005,2025-09-20 22:12:41,465.1,USD,Credit Card,PROD_3440,Consulting,5,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000043,CUST_0005,2025-10-21 22:12:41,815.36,USD,Credit Card,PROD_9261,Software License,1,Upgrade,Billing_Platform,2025-10-21 22:12:41
TXN_000044,CUST_0005,2025-08-28 22:12:41,1007.8,USD,Credit Card,PROD_4940,Consulting,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000045,CUST_0005,2025-10-20 22:12:41,181.87,USD,PayPal,PROD_5846,Consulting,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000046,CUST_0005,2025-10-10 22:12:41,535.35,USD,Credit Card,PROD_1399,Training,2,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000047,CUST_0005,2025-08-23 22:12:41,825.34,USD,PayPal,PROD_7068,Consulting,2,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000048,CUST_0005,2025-08-23 22:12:41,660.68,USD,PayPal,PROD_6454,Software License,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000049,CUST_0005,2025-10-17 22:12:41,781.87,USD,Credit Card,PROD_4393,Training,5,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000050,CUST_0005,2025-10-11 22:12:41,576.06,USD,PayPal,PROD_6963,Training,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000051,CUST_0005,2025-10-07 22:12:41,721.82,USD,Credit Card,PROD_7003,Consulting,5,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000052,CUST_0005,2025-10-13 22:12:41,670.68,USD,Credit Card,PROD_4909,Support Package,2,Upgrade,Sales_System,2025-10-21 22:12:41
TXN_000053,CUST_0005,2025-10-07 22:12:41,950.01,USD,PayPal,PROD_4693,Add-on Module,2,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000054,CUST_0005,2025-09-06 22:12:41,757.24,USD,PayPal,PROD_2038,Add-on Module,4,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000055,CUST_0005,2025-09-07 22:12:41,774.79,USD,Credit Card,PROD_8703,Add-on Module,5,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000056,CUST_0005,2025-08-14 22:12:41,616.61,USD,PayPal,PROD_7031,Add-on Module,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000057,CUST_0005,2025-10-13 22:12:41,600.62,USD,Credit Card,PROD_3929,Consulting,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000058,CUST_0005,2025-10-12 22:12:41,612.24,USD,Credit Card,PROD_9131,Training,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000059,CUST_0005,2025-09-25 22:12:41,786.79,USD,Credit Card,PROD_9870,Software License,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000060,CUST_0005,2025-08-22 22:12:41,614.69,USD,Credit Card,PROD_2031,Consulting,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000061,CUST_0006,2025-08-16 22:12:41,743.97,USD,PayPal,PROD_6346,Consulting,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000062,CUST_0006,2025-08-07 22:12:41,1110.62,USD,PayPal,PROD_5982,Add-on Module,5,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000063,CUST_0006,2025-10-05 22:12:41,863.34,USD,PayPal,PROD_4715,Training,2,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000064,CUST_0006,2025-09-04 22:12:41,617.52,USD,Bank Transfer,PROD_8469,Software License,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000065,CUST_0006,2025-08-03 22:12:41,931.12,USD,Bank Transfer,PROD_3873,Add-on Module,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000066,CUST_0006,2025-07-25 22:12:41,600.67,USD,Bank Transfer,PROD_1674,Support Package,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000067,CUST_0006,2025-08-09 22:12:41,265.96,USD,Credit Card,PROD_1568,Training,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000068,CUST_0006,2025-09-11 22:12:41,477.46,USD,Bank Transfer,PROD_3663,Support Package,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000069,CUST_0006,2025-09-13 22:12:41,300.32,USD,Credit Card,PROD_3381,Software License,4,Refund,ECommerce_API,2025-10-21 22:12:41
TXN_000070,CUST_0006,2025-09-11 22:12:41,612.28,USD,Credit Card,PROD_5842,Add-on Module,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000071,CUST_0006,2025-09-14 22:12:41,688.25,USD,Bank Transfer,PROD_8243,Add-on Module,2,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000072,CUST_0006,2025-07-25 22:12:41,1028.7,USD,Credit Card,PROD_2914,Consulting,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000073,CUST_0007,2025-08-29 22:12:41,4842.28,USD,Credit Card,PROD_4197,Training,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000074,CUST_0007,2025-09-18 22:12:41,4119.92,USD,Credit Card,PROD_9821,Training,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000075,CUST_0007,2025-09-08 22:12:41,5507.03,USD,Bank Transfer,PROD_9035,Software License,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000076,CUST_0007,2025-09-13 22:12:41,1484.59,USD,Bank Transfer,PROD_8006,Software License,3,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000077,CUST_0007,2025-09-27 22:12:41,4721.48,USD,Credit Card,PROD_8300,Training,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000078,CUST_0007,2025-10-16 22:12:41,5429.58,USD,Credit Card,PROD_5728,Consulting,4,Subscription Payment,Billing_Platform,2025-10-21 22:12:41
TXN_000079,CUST_0007,2025-08-31 22:12:41,2453.71,USD,Bank Transfer,PROD_2410,Consulting,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000080,CUST_0007,2025-10-08 22:12:41,5922.89,USD,Credit Card,PROD_7156,Add-on Module,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000081,CUST_0007,2025-10-21 22:12:41,4857.59,USD,Bank Transfer,PROD_8571,Training,4,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000082,CUST_0007,2025-09-15 22:12:41,3860.38,USD,Bank Transfer,PROD_7254,Support Package,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000083,CUST_0007,2025-09-16 22:12:41,5246.91,USD,Bank Transfer,PROD_8593,Training,5,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000084,CUST_0007,2025-10-20 22:12:41,7413.76,USD,Bank Transfer,PROD_8742,Support Package,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000085,CUST_0007,2025-09-10 22:12:41,4650.38,USD,Bank Transfer,PROD_5009,Training,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000086,CUST_0007,2025-10-14 22:12:41,4738.16,USD,Bank Transfer,PROD_6927,Consulting,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000087,CUST_0007,2025-09-21 22:12:41,3802.08,USD,Bank Transfer,PROD_2959,Training,4,Upgrade,ECommerce_API,2025-10-21 22:12:41
TXN_000088,CUST_0007,2025-09-19 22:12:41,3285.49,USD,Bank Transfer,PROD_1958,Software License,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000089,CUST_0007,2025-10-01 22:12:41,5508.26,USD,Bank Transfer,PROD_5467,Support Package,3,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000090,CUST_0007,2025-09-25 22:12:41,3277.24,USD,Bank Transfer,PROD_9677,Training,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000091,CUST_0007,2025-10-17 22:12:41,4504.46,USD,Bank Transfer,PROD_3738,Support Package,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000092,CUST_0007,2025-10-01 22:12:41,3777.87,USD,Invoice,PROD_6939,Training,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000093,CUST_0008,2025-10-03 22:12:41,1566.94,USD,Credit Card,PROD_8944,Add-on Module,3,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000094,CUST_0008,2025-09-08 22:12:41,1507.21,USD,Bank Transfer,PROD_9247,Support Package,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000095,CUST_0008,2025-09-27 22:12:41,1796.52,USD,PayPal,PROD_9612,Add-on Module,5,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000096,CUST_0008,2025-08-12 22:12:41,1160.44,USD,PayPal,PROD_2251,Software License,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000097,CUST_0008,2025-10-05 22:12:41,1259.15,USD,Bank Transfer,PROD_6940,Consulting,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000098,CUST_0008,2025-08-26 22:12:41,967.78,USD,PayPal,PROD_6604,Add-on Module,5,Subscription Payment,Billing_Platform,2025-10-21 22:12:41
TXN_000099,CUST_0008,2025-07-23 22:12:41,1187.46,USD,Credit Card,PROD_3332,Software License,2,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000100,CUST_0008,2025-09-22 22:12:41,1525.15,USD,Credit Card,PROD_7960,Support Package,2,Upgrade,Sales_System,2025-10-21 22:12:41
TXN_000101,CUST_0008,2025-10-07 22:12:41,1681.21,USD,Credit Card,PROD_2766,Consulting,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000102,CUST_0008,2025-07-29 22:12:41,991.04,USD,Credit Card,PROD_5145,Software License,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000103,CUST_0008,2025-10-13 22:12:41,1727.5,USD,Credit Card,PROD_4365,Software License,1,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000104,CUST_0008,2025-09-26 22:12:41,1927.27,USD,Credit Card,PROD_5544,Training,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000105,CUST_0008,2025-09-07 22:12:41,1540.0,USD,Credit Card,PROD_2119,Add-on Module,5,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000106,CUST_0008,2025-08-08 22:12:41,2141.47,USD,PayPal,PROD_5617,Add-on Module,2,Subscription Payment,Billing_Platform,2025-10-21 22:12:41
TXN_000107,CUST_0008,2025-08-14 22:12:41,1052.03,USD,Credit Card,PROD_8777,Software License,2,Refund,ECommerce_API,2025-10-21 22:12:41
TXN_000108,CUST_0008,2025-07-24 22:12:41,858.49,USD,Credit Card,PROD_6813,Consulting,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000109,CUST_0008,2025-08-28 22:12:41,638.98,USD,Credit Card,PROD_6149,Support Package,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000110,CUST_0008,2025-08-23 22:12:41,1984.98,USD,Credit Card,PROD_5723,Support Package,4,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000111,CUST_0008,2025-10-16 22:12:41,1639.03,USD,Credit Card,PROD_8486,Consulting,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000112,CUST_0008,2025-09-12 22:12:41,1347.22,USD,PayPal,PROD_5761,Consulting,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000113,CUST_0008,2025-09-27 22:12:41,1485.14,USD,PayPal,PROD_9055,Consulting,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000114,CUST_0008,2025-10-08 22:12:41,907.47,USD,Credit Card,PROD_7468,Add-on Module,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000115,CUST_0008,2025-07-25 22:12:41,2375.33,USD,Credit Card,PROD_4261,Software License,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000116,CUST_0008,2025-09-26 22:12:41,1423.18,USD,Credit Card,PROD_7958,Consulting,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000117,CUST_0008,2025-08-19 22:12:41,1415.03,USD,Credit Card,PROD_7557,Add-on Module,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000118,CUST_0008,2025-08-22 22:12:41,1668.38,USD,PayPal,PROD_3414,Consulting,4,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000119,CUST_0008,2025-10-08 22:12:41,1567.77,USD,Credit Card,PROD_3205,Consulting,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000120,CUST_0009,2025-09-04 22:12:41,407.67,USD,Credit Card,PROD_6356,Software License,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000121,CUST_0009,2025-07-06 22:12:41,291.42,USD,PayPal,PROD_9518,Software License,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000122,CUST_0010,2025-09-09 22:12:41,275.49,USD,Credit Card,PROD_9856,Add-on Module,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000123,CUST_0010,2025-10-20 22:12:41,377.62,USD,Bank Transfer,PROD_2951,Software License,4,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000124,CUST_0010,2025-09-23 22:12:41,338.77,USD,Credit Card,PROD_1538,Consulting,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000125,CUST_0010,2025-09-16 22:12:41,356.71,USD,PayPal,PROD_3203,Training,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000126,CUST_0010,2025-09-06 22:12:41,204.34,USD,Credit Card,PROD_9837,Software License,5,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000127,CUST_0010,2025-09-21 22:12:41,169.7,USD,Credit Card,PROD_5315,Support Package,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000128,CUST_0010,2025-09-14 22:12:41,232.24,USD,Bank Transfer,PROD_5660,Add-on Module,3,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000129,CUST_0010,2025-10-18 22:12:41,245.39,USD,Credit Card,PROD_6715,Software License,2,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000130,CUST_0010,2025-09-14 22:12:41,320.58,USD,Credit Card,PROD_6654,Training,4,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000131,CUST_0010,2025-09-25 22:12:41,118.81,USD,Credit Card,PROD_6113,Support Package,2,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000132,CUST_0010,2025-10-16 22:12:41,352.1,USD,Bank Transfer,PROD_3781,Software License,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000133,CUST_0010,2025-09-17 22:12:41,229.91,USD,Credit Card,PROD_7900,Consulting,4,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000134,CUST_0010,2025-10-20 22:12:41,210.44,USD,PayPal,PROD_7188,Add-on Module,1,Upgrade,Sales_System,2025-10-21 22:12:41
TXN_000135,CUST_0010,2025-09-27 22:12:41,168.07,USD,Credit Card,PROD_4373,Software License,4,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000136,CUST_0010,2025-09-20 22:12:41,121.53,USD,Credit Card,PROD_6952,Training,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000137,CUST_0010,2025-10-09 22:12:41,300.95,USD,Credit Card,PROD_5344,Software License,5,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000138,CUST_0010,2025-10-02 22:12:41,246.66,USD,Bank Transfer,PROD_2506,Consulting,2,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000139,CUST_0010,2025-08-28 22:12:41,147.95,USD,Credit Card,PROD_9700,Add-on Module,3,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000140,CUST_0010,2025-09-24 22:12:41,147.58,USD,Credit Card,PROD_5913,Software License,3,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000141,CUST_0011,2025-08-27 22:12:41,125.93,USD,Credit Card,PROD_9971,Add-on Module,4,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000142,CUST_0011,2025-07-27 22:12:41,210.15,USD,Credit Card,PROD_4489,Add-on Module,2,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000143,CUST_0011,2025-07-31 22:12:41,129.13,USD,PayPal,PROD_9728,Consulting,3,Refund,Sales_System,2025-10-21 22:12:41
TXN_000144,CUST_0011,2025-07-29 22:12:41,76.89,USD,PayPal,PROD_1981,Consulting,5,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000145,CUST_0011,2025-09-09 22:12:41,129.71,USD,Credit Card,PROD_5919,Support Package,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000146,CUST_0011,2025-08-26 22:12:41,128.58,USD,Credit Card,PROD_5373,Software License,2,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000147,CUST_0012,2025-04-24 22:12:41,12.63,USD,Credit Card,PROD_5023,Software License,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000148,CUST_0013,2025-06-28 22:12:41,105.62,USD,Credit Card,PROD_3235,Software License,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000149,CUST_0013,2025-07-20 22:12:41,99.93,USD,PayPal,PROD_1691,Training,5,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000150,CUST_0013,2025-06-21 22:12:41,129.79,USD,PayPal,PROD_5882,Software License,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000151,CUST_0014,2025-03-04 22:12:41,282.05,USD,PayPal,PROD_3302,Software License,4,Refund,Billing_Platform,2025-10-21 22:12:41
TXN_000152,CUST_0014,2025-07-25 22:12:41,242.73,USD,Credit Card,PROD_9605,Add-on Module,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000153,CUST_0014,2025-04-17 22:12:41,166.78,USD,PayPal,PROD_6134,Support Package,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000154,CUST_0015,2025-08-05 22:12:41,275.65,USD,Credit Card,PROD_3869,Consulting,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000155,CUST_0015,2025-09-04 22:12:41,731.18,USD,Credit Card,PROD_9740,Training,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000156,CUST_0015,2025-08-08 22:12:41,419.96,USD,Bank Transfer,PROD_5036,Training,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000157,CUST_0015,2025-07-27 22:12:41,414.35,USD,PayPal,PROD_7025,Support Package,3,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000158,CUST_0015,2025-09-20 22:12:41,409.64,USD,PayPal,PROD_1895,Add-on Module,1,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000159,CUST_0015,2025-07-25 22:12:41,437.15,USD,PayPal,PROD_6067,Support Package,3,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000160,CUST_0015,2025-07-22 22:12:41,394.76,USD,PayPal,PROD_8248,Software License,5,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000161,CUST_0016,2025-06-13 22:12:41,380.34,USD,Bank Transfer,PROD_4857,Training,3,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000162,CUST_0017,2025-08-11 22:12:41,365.09,USD,Bank Transfer,PROD_5489,Training,4,Subscription Payment,Billing_Platform,2025-10-21 22:12:41
TXN_000163,CUST_0017,2025-05-19 22:12:41,432.45,USD,Credit Card,PROD_2644,Consulting,3,Subscription Payment,Billing_Platform,2025-10-21 22:12:41
TXN_000164,CUST_0017,2025-07-17 22:12:41,365.54,USD,Credit Card,PROD_9973,Training,4,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000165,CUST_0017,2025-06-30 22:12:41,343.34,USD,Credit Card,PROD_4010,Software License,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000166,CUST_0018,2025-09-13 22:12:41,418.92,USD,Credit Card,PROD_2347,Support Package,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000167,CUST_0018,2025-09-11 22:12:41,374.91,USD,Credit Card,PROD_6233,Support Package,5,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000168,CUST_0018,2025-08-22 22:12:41,589.13,USD,PayPal,PROD_6367,Support Package,3,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000169,CUST_0018,2025-09-09 22:12:41,83.1,USD,Credit Card,PROD_7182,Training,2,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000170,CUST_0018,2025-09-07 22:12:41,538.89,USD,Credit Card,PROD_4747,Software License,5,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000171,CUST_0018,2025-08-23 22:12:41,557.72,USD,Credit Card,PROD_8027,Support Package,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000172,CUST_0018,2025-09-05 22:12:41,153.45,USD,Credit Card,PROD_2922,Training,2,Refund,Billing_Platform,2025-10-21 22:12:41
TXN_000173,CUST_0018,2025-08-07 22:12:41,364.22,USD,Credit Card,PROD_4328,Consulting,4,Purchase,Billing_Platform,2025-10-21 22:12:41
