survey_response_id,customer_id,response_date,nps_score,comments,question_id,question_text,response_text,survey_type,source_system,ingestion_timestamp
SURVEY_000023,CUST_0015,2025-08-06 22:12:41,6,Product needs improvement in several areas.,Q_7,How would you rate our customer support?,Not likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000024,CUST_0016,2025-10-06 22:12:41,6,Product needs improvement in several areas.,Q_10,How would you rate our customer support?,Not likely to recommend,Product Feedback,Email_Survey,2025-10-21 22:12:41
SURVEY_000025,CUST_0017,2025-10-21 22:12:41,7,"Satisfied with most features, minor issues.",Q_10,How would you rate our customer support?,Somewhat likely to recommend,NPS,Qualtrics,2025-10-21 22:12:41
SURVEY_000026,CUST_0018,2025-08-24 22:12:41,6,Experiencing some issues with the platform.,Q_10,What is your overall satisfaction with our service?,Not likely to recommend,Support Satisfaction,Email_Survey,2025-10-21 22:12:41
SURVEY_000027,CUST_0018,2025-09-06 22:12:41,7,Good platform with room for enhancement.,Q_6,How would you rate our customer support?,Somewhat likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000028,CUST_0020,2025-10-01 22:12:41,10,"Great experience, would definitely recommend.",Q_5,How would you rate our customer support?,Very likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000029,CUST_0020,2025-08-16 22:12:41,8,Good platform with room for enhancement.,Q_1,How would you rate our customer support?,Somewhat likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000030,CUST_0020,2025-09-23 22:12:41,10,Outstanding support and features.,Q_5,How likely are you to recommend our product?,Very likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000031,CUST_0021,2025-10-04 22:12:41,7,"Satisfied with most features, minor issues.",Q_5,How would you rate our customer support?,Somewhat likely to recommend,Product Feedback,Email_Survey,2025-10-21 22:12:41
SURVEY_000032,CUST_0022,2025-08-29 22:12:41,3,Having trouble with support response times.,Q_1,What features would you like to see improved?,Not likely to recommend,NPS,Qualtrics,2025-10-21 22:12:41
SURVEY_000033,CUST_0022,2025-09-17 22:12:41,2,Experiencing some issues with the platform.,Q_2,What is your overall satisfaction with our service?,Not likely to recommend,Product Feedback,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000034,CUST_0024,2025-10-20 22:12:41,9,"Great experience, would definitely recommend.",Q_2,What is your overall satisfaction with our service?,Very likely to recommend,Product Feedback,InApp_Survey,2025-10-21 22:12:41
SURVEY_000035,CUST_0024,2025-08-22 22:12:41,7,Generally happy with the service.,Q_8,How would you rate our customer support?,Somewhat likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000036,CUST_0024,2025-09-05 22:12:41,7,Good platform with room for enhancement.,Q_10,What features would you like to see improved?,Somewhat likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000037,CUST_0026,2025-09-07 22:12:41,10,Outstanding support and features.,Q_1,How likely are you to recommend our product?,Very likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000038,CUST_0027,2025-08-21 22:12:41,4,Product needs improvement in several areas.,Q_1,How would you rate our customer support?,Not likely to recommend,Support Satisfaction,Email_Survey,2025-10-21 22:12:41
SURVEY_000039,CUST_0029,2025-09-04 22:12:41,10,"Love the platform, very user-friendly.",Q_4,How would you rate our customer support?,Very likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000040,CUST_0029,2025-09-20 22:12:41,8,"Good product overall, some areas for improvement.",Q_6,What is your overall satisfaction with our service?,Somewhat likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000041,CUST_0029,2025-10-02 22:12:41,9,"Great experience, would definitely recommend.",Q_7,What features would you like to see improved?,Very likely to recommend,NPS,Qualtrics,2025-10-21 22:12:41
SURVEY_000042,CUST_0030,2025-09-03 22:12:41,7,"Good product overall, some areas for improvement.",Q_8,How would you rate our customer support?,Somewhat likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000043,CUST_0030,2025-07-31 22:12:41,9,"Excellent product, very satisfied with the service.",Q_1,What features would you like to see improved?,Very likely to recommend,Product Feedback,InApp_Survey,2025-10-21 22:12:41
SURVEY_000044,CUST_0031,2025-08-23 22:12:41,1,Experiencing some issues with the platform.,Q_1,What features would you like to see improved?,Not likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000045,CUST_0031,2025-08-25 22:12:41,5,Experiencing some issues with the platform.,Q_7,What features would you like to see improved?,Not likely to recommend,Product Feedback,InApp_Survey,2025-10-21 22:12:41
SURVEY_000046,CUST_0032,2025-09-29 22:12:41,7,Good platform with room for enhancement.,Q_9,What features would you like to see improved?,Somewhat likely to recommend,NPS,Qualtrics,2025-10-21 22:12:41
SURVEY_000047,CUST_0032,2025-10-12 22:12:41,8,"Satisfied with most features, minor issues.",Q_8,How would you rate our customer support?,Somewhat likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000048,CUST_0033,2025-07-31 22:12:41,1,Experiencing some issues with the platform.,Q_1,How would you rate our customer support?,Not likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000049,CUST_0033,2025-08-01 22:12:41,5,Having trouble with support response times.,Q_7,What is your overall satisfaction with our service?,Not likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000050,CUST_0034,2025-10-03 22:12:41,10,"Love the platform, very user-friendly.",Q_7,What features would you like to see improved?,Very likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000051,CUST_0034,2025-09-04 22:12:41,9,Outstanding support and features.,Q_10,What features would you like to see improved?,Very likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000052,CUST_0035,2025-10-01 22:12:41,8,Good platform with room for enhancement.,Q_6,How would you rate our customer support?,Somewhat likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000053,CUST_0035,2025-08-03 22:12:41,10,"Excellent product, very satisfied with the service.",Q_3,How would you rate our customer support?,Very likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000054,CUST_0038,2025-08-21 22:12:41,7,Generally happy with the service.,Q_6,How would you rate our customer support?,Somewhat likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000055,CUST_0039,2025-08-09 22:12:41,6,Not fully satisfied with the current features.,Q_7,How would you rate our customer support?,Not likely to recommend,Product Feedback,InApp_Survey,2025-10-21 22:12:41
SURVEY_000056,CUST_0039,2025-09-11 22:12:41,5,Product needs improvement in several areas.,Q_8,What features would you like to see improved?,Not likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000057,CUST_0040,2025-09-03 22:12:41,10,"Love the platform, very user-friendly.",Q_4,How likely are you to recommend our product?,Very likely to recommend,Product Feedback,Email_Survey,2025-10-21 22:12:41
SURVEY_000058,CUST_0040,2025-09-27 22:12:41,8,Generally happy with the service.,Q_1,How would you rate our customer support?,Somewhat likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000059,CUST_0041,2025-10-03 22:12:41,7,Generally happy with the service.,Q_10,What features would you like to see improved?,Somewhat likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000060,CUST_0041,2025-09-02 22:12:41,9,"Excellent product, very satisfied with the service.",Q_9,What is your overall satisfaction with our service?,Very likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000061,CUST_0042,2025-08-10 22:12:41,7,"Satisfied with most features, minor issues.",Q_9,What is your overall satisfaction with our service?,Somewhat likely to recommend,Product Feedback,InApp_Survey,2025-10-21 22:12:41
SURVEY_000062,CUST_0042,2025-10-19 22:12:41,8,Generally happy with the service.,Q_4,How likely are you to recommend our product?,Somewhat likely to recommend,Product Feedback,InApp_Survey,2025-10-21 22:12:41
SURVEY_000063,CUST_0042,2025-07-26 22:12:41,8,"Good product overall, some areas for improvement.",Q_3,What features would you like to see improved?,Somewhat likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000064,CUST_0043,2025-10-21 22:12:41,4,Experiencing some issues with the platform.,Q_4,How likely are you to recommend our product?,Not likely to recommend,NPS,Qualtrics,2025-10-21 22:12:41
SURVEY_000065,CUST_0043,2025-09-24 22:12:41,6,Experiencing some issues with the platform.,Q_2,What features would you like to see improved?,Not likely to recommend,Product Feedback,Email_Survey,2025-10-21 22:12:41
SURVEY_000066,CUST_0044,2025-09-01 22:12:41,7,"Satisfied with most features, minor issues.",Q_9,What features would you like to see improved?,Somewhat likely to recommend,Product Feedback,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000067,CUST_0045,2025-10-10 22:12:41,9,"Love the platform, very user-friendly.",Q_7,How likely are you to recommend our product?,Very likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000068,CUST_0046,2025-08-28 22:12:41,7,Good platform with room for enhancement.,Q_1,What is your overall satisfaction with our service?,Somewhat likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000069,CUST_0046,2025-10-04 22:12:41,8,Generally happy with the service.,Q_7,What features would you like to see improved?,Somewhat likely to recommend,NPS,Qualtrics,2025-10-21 22:12:41
SURVEY_000070,CUST_0046,2025-09-21 22:12:41,10,"Excellent product, very satisfied with the service.",Q_10,What features would you like to see improved?,Very likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000071,CUST_0047,2025-10-03 22:12:41,2,Not fully satisfied with the current features.,Q_4,How likely are you to recommend our product?,Not likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000072,CUST_0048,2025-08-29 22:12:41,8,Generally happy with the service.,Q_9,What is your overall satisfaction with our service?,Somewhat likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000073,CUST_0048,2025-08-21 22:12:41,10,Outstanding support and features.,Q_8,How would you rate our customer support?,Very likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000074,CUST_0048,2025-09-13 22:12:41,9,"Great experience, would definitely recommend.",Q_5,How would you rate our customer support?,Very likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000075,CUST_0049,2025-08-27 22:12:41,7,"Satisfied with most features, minor issues.",Q_3,How would you rate our customer support?,Somewhat likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000076,CUST_0050,2025-10-07 22:12:41,4,Experiencing some issues with the platform.,Q_7,How would you rate our customer support?,Not likely to recommend,Support Satisfaction,Email_Survey,2025-10-21 22:12:41
SURVEY_000077,CUST_0050,2025-09-08 22:12:41,2,Having trouble with support response times.,Q_3,How likely are you to recommend our product?,Not likely to recommend,Support Satisfaction,Email_Survey,2025-10-21 22:12:41
SURVEY_000078,CUST_0051,2025-08-21 22:12:41,10,"Great experience, would definitely recommend.",Q_5,How would you rate our customer support?,Very likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000079,CUST_0054,2025-07-28 22:12:41,7,"Good product overall, some areas for improvement.",Q_3,How would you rate our customer support?,Somewhat likely to recommend,NPS,Qualtrics,2025-10-21 22:12:41
SURVEY_000080,CUST_0055,2025-08-17 22:12:41,9,"Excellent product, very satisfied with the service.",Q_10,How likely are you to recommend our product?,Very likely to recommend,Support Satisfaction,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000081,CUST_0055,2025-10-10 22:12:41,10,"Excellent product, very satisfied with the service.",Q_10,How would you rate our customer support?,Very likely to recommend,Product Feedback,InApp_Survey,2025-10-21 22:12:41
SURVEY_000082,CUST_0056,2025-09-04 22:12:41,10,"Great experience, would definitely recommend.",Q_8,What is your overall satisfaction with our service?,Very likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000083,CUST_0056,2025-08-01 22:12:41,7,Generally happy with the service.,Q_9,What features would you like to see improved?,Somewhat likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000084,CUST_0057,2025-08-12 22:12:41,7,Good platform with room for enhancement.,Q_9,What is your overall satisfaction with our service?,Somewhat likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000085,CUST_0057,2025-08-19 22:12:41,5,Product needs improvement in several areas.,Q_3,What is your overall satisfaction with our service?,Not likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000086,CUST_0058,2025-08-26 22:12:41,9,"Love the platform, very user-friendly.",Q_10,How would you rate our customer support?,Very likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000087,CUST_0058,2025-08-19 22:12:41,7,"Satisfied with most features, minor issues.",Q_7,What is your overall satisfaction with our service?,Somewhat likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000088,CUST_0059,2025-10-02 22:12:41,7,Good platform with room for enhancement.,Q_9,How likely are you to recommend our product?,Somewhat likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000089,CUST_0060,2025-08-17 22:12:41,5,Not fully satisfied with the current features.,Q_9,What is your overall satisfaction with our service?,Not likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000090,CUST_0061,2025-08-19 22:12:41,6,Experiencing some issues with the platform.,Q_10,What features would you like to see improved?,Not likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000091,CUST_0062,2025-08-11 22:12:41,5,Having trouble with support response times.,Q_5,How would you rate our customer support?,Not likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000092,CUST_0062,2025-09-10 22:12:41,4,Product needs improvement in several areas.,Q_2,How would you rate our customer support?,Not likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000093,CUST_0063,2025-10-12 22:12:41,4,Having trouble with support response times.,Q_6,How would you rate our customer support?,Not likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000094,CUST_0063,2025-08-26 22:12:41,7,Good platform with room for enhancement.,Q_10,How likely are you to recommend our product?,Somewhat likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000095,CUST_0064,2025-08-09 22:12:41,9,Outstanding support and features.,Q_4,How would you rate our customer support?,Very likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000096,CUST_0064,2025-09-13 22:12:41,8,"Satisfied with most features, minor issues.",Q_7,What is your overall satisfaction with our service?,Somewhat likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000097,CUST_0065,2025-09-05 22:12:41,10,"Great experience, would definitely recommend.",Q_3,How likely are you to recommend our product?,Very likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000098,CUST_0065,2025-08-23 22:12:41,8,"Good product overall, some areas for improvement.",Q_9,What features would you like to see improved?,Somewhat likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000099,CUST_0065,2025-09-10 22:12:41,9,"Great experience, would definitely recommend.",Q_10,How would you rate our customer support?,Very likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000100,CUST_0066,2025-10-21 22:12:41,10,"Love the platform, very user-friendly.",Q_6,What is your overall satisfaction with our service?,Very likely to recommend,Product Feedback,Email_Survey,2025-10-21 22:12:41
SURVEY_000101,CUST_0067,2025-08-20 22:12:41,7,"Good product overall, some areas for improvement.",Q_3,How likely are you to recommend our product?,Somewhat likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000102,CUST_0068,2025-09-11 22:12:41,9,"Great experience, would definitely recommend.",Q_10,What features would you like to see improved?,Very likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000103,CUST_0069,2025-09-25 22:12:41,10,Outstanding support and features.,Q_10,How would you rate our customer support?,Very likely to recommend,Product Feedback,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000104,CUST_0069,2025-07-27 22:12:41,7,"Good product overall, some areas for improvement.",Q_3,How would you rate our customer support?,Somewhat likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000105,CUST_0069,2025-10-17 22:12:41,10,"Excellent product, very satisfied with the service.",Q_10,How likely are you to recommend our product?,Very likely to recommend,Product Feedback,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000106,CUST_0070,2025-08-02 22:12:41,10,"Excellent product, very satisfied with the service.",Q_8,How would you rate our customer support?,Very likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000107,CUST_0070,2025-09-02 22:12:41,8,"Satisfied with most features, minor issues.",Q_1,What is your overall satisfaction with our service?,Somewhat likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000108,CUST_0071,2025-09-15 22:12:41,9,Outstanding support and features.,Q_1,What is your overall satisfaction with our service?,Very likely to recommend,Support Satisfaction,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000109,CUST_0071,2025-09-16 22:12:41,8,"Good product overall, some areas for improvement.",Q_9,What features would you like to see improved?,Somewhat likely to recommend,Product Feedback,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000110,CUST_0072,2025-09-30 22:12:41,8,Generally happy with the service.,Q_2,What features would you like to see improved?,Somewhat likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000111,CUST_0072,2025-08-19 22:12:41,9,"Love the platform, very user-friendly.",Q_9,What features would you like to see improved?,Very likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000112,CUST_0073,2025-09-08 22:12:41,10,Outstanding support and features.,Q_4,What features would you like to see improved?,Very likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000113,CUST_0073,2025-08-16 22:12:41,10,"Excellent product, very satisfied with the service.",Q_7,How likely are you to recommend our product?,Very likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000114,CUST_0073,2025-10-08 22:12:41,8,Generally happy with the service.,Q_10,How would you rate our customer support?,Somewhat likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000115,CUST_0074,2025-09-29 22:12:41,9,"Great experience, would definitely recommend.",Q_10,What features would you like to see improved?,Very likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000116,CUST_0076,2025-07-25 22:12:41,10,"Love the platform, very user-friendly.",Q_7,What is your overall satisfaction with our service?,Very likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000117,CUST_0076,2025-09-09 22:12:41,8,"Good product overall, some areas for improvement.",Q_8,How likely are you to recommend our product?,Somewhat likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000118,CUST_0077,2025-08-10 22:12:41,6,Product needs improvement in several areas.,Q_3,What is your overall satisfaction with our service?,Not likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000119,CUST_0078,2025-08-07 22:12:41,9,"Love the platform, very user-friendly.",Q_8,What features would you like to see improved?,Very likely to recommend,Support Satisfaction,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000120,CUST_0079,2025-07-26 22:12:41,10,Outstanding support and features.,Q_1,What is your overall satisfaction with our service?,Very likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000121,CUST_0079,2025-09-11 22:12:41,7,Good platform with room for enhancement.,Q_10,What features would you like to see improved?,Somewhat likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000122,CUST_0080,2025-08-29 22:12:41,4,Not fully satisfied with the current features.,Q_5,How would you rate our customer support?,Not likely to recommend,Product Feedback,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000123,CUST_0081,2025-09-29 22:12:41,8,"Good product overall, some areas for improvement.",Q_1,How would you rate our customer support?,Somewhat likely to recommend,Product Feedback,Email_Survey,2025-10-21 22:12:41
SURVEY_000124,CUST_0081,2025-08-01 22:12:41,9,"Love the platform, very user-friendly.",Q_10,What is your overall satisfaction with our service?,Very likely to recommend,Support Satisfaction,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000125,CUST_0081,2025-10-18 22:12:41,7,Generally happy with the service.,Q_3,How would you rate our customer support?,Somewhat likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000126,CUST_0082,2025-08-11 22:12:41,8,Good platform with room for enhancement.,Q_9,What features would you like to see improved?,Somewhat likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000127,CUST_0082,2025-08-12 22:12:41,10,"Great experience, would definitely recommend.",Q_6,How would you rate our customer support?,Very likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000128,CUST_0082,2025-08-18 22:12:41,7,"Satisfied with most features, minor issues.",Q_10,How would you rate our customer support?,Somewhat likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000129,CUST_0083,2025-08-27 22:12:41,8,Good platform with room for enhancement.,Q_5,What is your overall satisfaction with our service?,Somewhat likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000130,CUST_0084,2025-07-28 22:12:41,10,"Excellent product, very satisfied with the service.",Q_4,What features would you like to see improved?,Very likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000131,CUST_0084,2025-10-04 22:12:41,9,"Excellent product, very satisfied with the service.",Q_2,What is your overall satisfaction with our service?,Very likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000132,CUST_0085,2025-10-07 22:12:41,1,Experiencing some issues with the platform.,Q_8,How likely are you to recommend our product?,Not likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000133,CUST_0085,2025-10-15 22:12:41,1,Experiencing some issues with the platform.,Q_1,What features would you like to see improved?,Not likely to recommend,Product Feedback,Qualtrics,2025-10-21 22:12:41
SURVEY_000134,CUST_0086,2025-08-12 22:12:41,4,Product needs improvement in several areas.,Q_2,How would you rate our customer support?,Not likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000135,CUST_0086,2025-09-04 22:12:41,1,Not fully satisfied with the current features.,Q_1,How would you rate our customer support?,Not likely to recommend,Product Feedback,Email_Survey,2025-10-21 22:12:41
SURVEY_000136,CUST_0087,2025-09-05 22:12:41,8,Generally happy with the service.,Q_1,How would you rate our customer support?,Somewhat likely to recommend,NPS,Email_Survey,2025-10-21 22:12:41
SURVEY_000137,CUST_0087,2025-08-09 22:12:41,8,"Good product overall, some areas for improvement.",Q_4,How likely are you to recommend our product?,Somewhat likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000138,CUST_0088,2025-09-30 22:12:41,5,Experiencing some issues with the platform.,Q_5,What features would you like to see improved?,Not likely to recommend,Support Satisfaction,Email_Survey,2025-10-21 22:12:41
